price,volume,time,buy/sell,market/limit,miscellaneous
2912.89000,0.00066296,1647771524.9025295,b,l,
2916.86000,1.00000000,1647771741.3838224,b,l,
2916.85000,0.01394357,1647771748.1141374,s,m,
2916.85000,0.15677643,1647771748.1163378,s,m,
2916.85000,0.20322357,1647771748.1174695,s,m,
2916.85000,0.57601737,1647771748.1201537,s,m,
2916.85000,0.02438241,1647771748.122405,s,m,
2916.85000,0.40334696,1647771748.1248448,s,m,
2916.85000,1.42230969,1647771748.1272483,s,m,
2916.85000,0.80147860,1647771755.983703,s,m,
2916.85000,0.28913462,1647771755.987132,s,m,
2916.82000,1.60000000,1647771755.988851,s,m,
2916.42000,1.20086538,1647771755.9903116,s,m,
2916.42000,1.10852140,1647771755.9923403,s,m,
2915.28000,0.00100000,1647771847.5853214,b,l,
2915.29000,0.00100000,1647771847.5872145,b,l,
2915.32000,0.32552483,1647771847.5886352,b,l,
2915.33000,0.39535446,1647771847.589884,b,l,
2914.97000,0.00686456,1647771919.453733,b,m,
2914.39000,0.01524199,1647771942.1205027,b,l,
2914.39000,0.00564972,1647771942.1224701,b,l,
2914.39000,0.05892146,1647771942.1242716,b,l,
2914.40000,0.30000000,1647771942.125517,b,l,
2914.41000,0.03636045,1647771942.1265135,b,l,
2914.42000,0.09789851,1647771942.1275272,b,l,
2914.42000,0.00295703,1647771942.1290665,b,l,
2914.42000,0.24197084,1647771942.130582,b,l,
2914.09000,0.09048790,1647771954.2359004,b,l,
2914.09000,0.28251210,1647771954.2378874,b,l,
2914.09000,0.00126000,1647771954.706126,b,l,
2914.09000,0.01475854,1647771964.8278983,b,m,
2913.92000,0.19601247,1647772120.3520908,s,m,
2917.09000,0.04972668,1647772247.5284884,b,l,
2917.10000,0.02120799,1647772247.5299969,b,l,
2919.08000,0.02000000,1647772358.1818948,s,m,
2917.73000,0.15218253,1647772417.6907678,s,l,
2920.01000,0.00136684,1647772501.4993532,b,l,
2920.56000,0.00823725,1647772523.0761795,b,l,
2920.45000,0.10000000,1647772524.3270235,b,m,
2920.45000,0.40000000,1647772524.3292172,b,m,
2920.45000,0.03000000,1647772524.3310637,b,m,
2920.45000,0.30650329,1647772524.3331115,b,m,
2920.46000,0.01349671,1647772524.334124,b,m,
2920.40000,0.02000000,1647772547.594635,b,l,
2920.43000,0.00100000,1647772547.596212,b,l,
2920.44000,0.01045733,1647772547.5983925,b,l,
2919.48000,0.00477000,1647772613.0508413,s,l,
2919.99000,0.46174566,1647772700.517365,b,m,
2919.99000,0.45324986,1647772700.5189853,b,m,
2919.99000,0.00477000,1647772700.5201175,b,m,
2920.10000,0.14585833,1647772700.5210636,b,m,
2920.12000,0.01181449,1647772700.5219774,b,m,
2920.20000,0.30000000,1647772700.5230014,b,m,
2920.20000,0.03424500,1647772700.523842,b,m,
2920.22000,0.58831666,1647772700.5247166,b,m,
2921.00000,0.30000000,1647772718.6458871,b,m,
2921.52000,0.07100000,1647772718.6469152,b,m,
2921.53000,1.62900000,1647772718.648492,b,m,
2921.07000,2.00000000,1647772734.8577158,b,m,
2921.19000,0.01711708,1647772760.1602318,b,m,
2921.56000,2.00000000,1647772796.0200558,s,m,
2921.56000,2.00000000,1647772796.0233514,s,m,
2921.56000,2.00000000,1647772796.0259922,s,m,
2921.57000,2.00000000,1647772796.0298207,b,m,
2921.57000,2.00000000,1647772796.0333054,b,m,
2921.57000,2.00000000,1647772796.0374603,b,m,
2921.99000,0.03421800,1647772833.9616332,s,l,
2921.99000,0.03287469,1647772833.9630332,s,l,
2921.99000,0.01280540,1647772834.0274458,s,l,
2921.99000,0.04277114,1647772834.0288525,s,l,
2922.00000,0.03025357,1647772861.530732,b,l,
2922.00000,0.06081345,1647772861.532468,b,l,
2923.24000,0.69970306,1647772871.394031,b,m,
2923.24000,1.30029694,1647772875.8997002,b,l,
2923.71000,2.78102733,1647772875.900884,b,l,
2923.74000,0.00438928,1647772875.9030073,b,l,
2924.00000,3.69742268,1647772875.904866,b,l,
2924.06000,4.00000000,1647772875.9059849,b,l,
2924.12000,1.76000000,1647772875.907335,b,l,
2924.24000,0.01455472,1647772875.9091506,b,l,
2924.27000,0.03419700,1647772875.9104817,b,l,
2924.32000,51.29690346,1647772875.9114087,b,l,
2924.35000,3.90707584,1647772875.912743,b,l,
2924.37000,3.88171160,1647772875.9139042,b,l,
2924.42000,20.52145441,1647772875.9149418,b,l,
2924.49000,3.41910191,1647772875.916729,b,l,
2924.51000,2.65757968,1647772875.9180453,b,l,
2924.51000,7.63242032,1647772875.920419,b,l,
2924.54000,0.28000538,1647772917.586857,s,l,
2924.54000,0.54000000,1647772979.9774494,s,l,
2924.54000,0.23000000,1647772980.0940435,s,l,
2924.54000,0.01568000,1647772980.1951034,s,l,
2924.54000,2.62000000,1647772981.731178,s,l,
2924.54000,1.84885761,1647772981.734591,s,l,
2924.54000,0.04032138,1647772981.736284,s,l,
2922.00000,0.30000000,1647772983.1772673,b,m,
2921.99000,0.02200000,1647773014.4998472,s,m,
2920.51000,0.03145987,1647773124.707736,b,l,
2920.50000,0.01155015,1647773238.4787304,s,l,
2920.51000,0.01531718,1647773267.8691494,b,l,
